user,x1_mean,x1_dev,x2_mean,x2_dev,x3_mean,x3_dev,x4_mean,x4_dev
1,72.0,21.908902300206645,229.33333333333334,60.428102365998186,225.33333333333334,69.95871798583948,297.3333333333333,67.15818805046948
1,72.25,16.18190862249156,185.91666666666666,34.86272683285434,182.0,38.4642691338338,254.25,32.72390818143008
1,82.41666666666667,15.397285114230003,239.25,130.55594267082088,237.91666666666666,139.13570014757374,320.3333333333333,141.50225753990247
1,72.0,21.205345238091898,331.9166666666667,352.6496037932773,330.0,338.38956839713603,402.0,344.2908169943931
1,73.0,12.315302134607444,173.83333333333334,45.48778834906012,176.0,38.17721833764215,249.0,37.9758695314099
1,73.25,29.84718021298941,196.0,48.449286200452256,195.91666666666666,52.40142862768364,269.1666666666667,44.666977610857984
1,79.33333333333333,16.614919667442138,201.91666666666666,55.8636111932943,200.0,45.05552130427524,279.3333333333333,46.114591568781734
1,71.66666666666667,17.089632984811452,190.0,42.14656965084268,187.83333333333334,38.04784999035936,259.5,37.268172301129376
2,110.5,22.827249797847603,142.08333333333334,53.627509006313375,142.66666666666666,57.31395021187153,253.16666666666666,49.517393128296064
2,117.25,19.549616364522347,138.66666666666666,59.14717988956776,138.66666666666666,64.8425443328341,255.91666666666666,60.48892230997526
2,116.08333333333333,41.14903468558595,129.0,57.879184513951124,126.66666666666667,63.66623036499718,242.75,54.01099425117075
2,116.75,38.557586802080856,138.66666666666666,72.7831634987714,138.08333333333334,54.98857204506728,254.83333333333334,63.98155116038442
2,118.83333333333333,34.02164343799726,141.91666666666666,48.51023660585007,140.0,66.51440946642063,258.8333333333333,47.73858211365543
2,120.66666666666667,27.6204433144888,138.0,39.818337484129096,137.91666666666666,63.791925211755625,258.5833333333333,42.52931995171749
2,112.16666666666667,20.00347192086636,160.0,98.45726653393001,159.91666666666666,96.9686017338717,272.0833333333333,90.31653441584707
2,119.41666666666667,27.73823574458589,150.33333333333334,47.683563438801656,146.66666666666666,63.22886120189805,266.0833333333333,51.40923771290742
3,92.16666666666667,36.142849300457144,149.91666666666666,29.65203290763646,154.75,75.20430506294171,246.91666666666666,49.78697676657577
3,95.33333333333333,22.738855634256435,132.75,30.93575331769591,132.66666666666666,58.472690681681094,228.0,41.14405586878053
3,94.83333333333333,14.421242048527658,144.0,62.65647080177221,147.91666666666666,65.91719342393826,242.75,68.32779449096832
3,90.25,13.778757805646583,136.25,67.962152457575,142.0,71.94673956013109,232.25,74.10254718968842
3,89.08333333333333,18.504316313288157,180.0,104.00160255175558,182.0,110.21418541488508,271.0833333333333,111.04537986286908
3,90.91666666666667,11.975379836239943,174.0,99.90662307041177,176.0,106.99844235626361,266.9166666666667,99.7901617840601
3,90.91666666666667,17.456891348563627,136.0,50.4942240921342,137.91666666666666,57.767433635993285,228.83333333333334,57.64522722847246
3,92.0,22.949219304078007,167.91666666666666,52.403018890984605,167.91666666666666,75.84244450760332,259.9166666666667,64.58903200664611
4,85.91666666666667,15.310444873426189,222.5,95.79622469944557,223.33333333333334,94.40103577586189,309.25,91.00469310242558
4,81.25,22.000473479753413,360.0,420.98337259326524,361.9166666666667,436.9646168614673,443.1666666666667,433.25855123958286
4,88.33333333333333,19.25847576753905,340.0,391.0381481816491,342.0,378.98526796345703,430.3333333333333,386.97013953131955
4,82.16666666666667,20.177682941529458,521.0833333333334,476.4391283842623,523.9166666666666,471.3239258254938,606.0833333333334,468.3512674502144
4,79.58333333333333,24.202129153352512,219.33333333333334,68.96778636113787,221.75,74.58007441669658,301.3333333333333,71.24527274766298
4,84.25,15.790952050673406,343.8333333333333,437.21120627093825,347.9166666666667,429.20866299375746,432.1666666666667,439.6179844162682
4,77.58333333333333,23.421707642460422,440.6666666666667,340.75928290934183,444.4166666666667,363.4027743274518,522.0,353.1437384408791
4,82.83333333333333,18.370417039964615,306.6666666666667,142.60278943819984,308.6666666666667,159.99548604743683,391.5,155.502679505317
5,74.0,18.2208671582886,180.0,54.405882034941776,180.0,56.142675390472796,254.0,51.96152422706632
5,71.41666666666667,34.83403109348991,170.58333333333334,60.25426448716214,176.16666666666666,51.14820513848838,247.58333333333334,48.04591264844724
5,76.25,32.55540149754979,154.58333333333334,61.09617873120671,164.5,58.95973202110064,240.75,70.01086225246289
5,81.75,31.770334695540534,184.0,53.99382680763916,186.0,47.918333304348835,267.75,48.79570507056265
5,101.75,45.89503422666407,186.0,36.90754213797861,187.91666666666666,51.89967619252445,289.6666666666667,54.9368324128317
5,89.58333333333333,24.260593333405694,178.08333333333334,35.12230614422818,177.91666666666666,34.781360749049995,267.5,35.58206477051793
5,81.75,24.290344446576572,219.33333333333334,119.65529193850513,219.33333333333334,96.94872642565015,301.0833333333333,108.58902517698964
5,67.25,24.25601300021639,162.5,50.919053408326434,168.5,34.659053651246744,235.75,45.6346450992372
6,73.91666666666667,21.61195014081073,167.91666666666666,64.39650395962674,167.91666666666666,79.73336642975902,241.83333333333334,74.63336310852466
6,78.41666666666667,23.7678295648177,176.0,49.95998398718719,174.0,44.753025968456406,252.41666666666666,47.45429087260943
6,82.58333333333333,13.14317524632292,178.08333333333334,53.87401713462829,178.0,55.34287066400995,260.5833333333333,53.76098079049112
6,79.41666666666667,17.30345983386624,168.0,56.31015302175384,168.0,53.67184240052382,247.41666666666666,56.81029591739707
6,76.58333333333333,21.70429424996097,168.0,48.774993593028796,168.0,51.778373863998475,244.58333333333334,46.35633421898481
6,81.25,19.49412304601911,245.25,248.3103317087981,243.33333333333334,232.4303957938567,324.5833333333333,244.50918808003016
